Rudzu iela;20
Rudzu iela;29
Rudzu iela;27
Rudzu iela;15
Rudzu iela;21
Jaunciema 1.šķērslīnija;8
Jaunciema 3.līnija;41
Jaunciema 1.šķērslīnija;14
Jaunciema 6.līnija;27
Vēdas iela;2
Jaunciema 6.līnija;25B
Jaunciema 4.līnija;51
Jaunciema 4.līnija;49
Jaunciema 6.līnija;35
Jaunciema 6.līnija;57A
Jaunciema 4.līnija;63
Jaunciema 4.līnija;62
Jaunciema 4.līnija;64
Vēdas iela;4
Jaunciema 1.šķērslīnija;10
Vēdas iela;1
Vēdas iela;3
Vēdas iela;5
Baraviku iela;7
Baraviku iela;4
Baraviku iela;2
Baraviku iela;3
Baraviku iela;1
Jaunciema 4.līnija;50A
Jaunciema 4.līnija;40A
Jaunciema 4.līnija;30A
Jaunciema 4.līnija;26A
Jaunciema 4.līnija;25B
Jaunciema 4.līnija;25A
Jaunciema 3.līnija;50A
Jaunciema 3.līnija;48B
Jaunciema 3.līnija;48A
Jaunciema 6.līnija;43
Jaunciema 6.līnija;45
Jaunciema 6.līnija;47
Jaunciema 6.līnija;49
Jaunciema 6.līnija;51
Jaunciema 6.līnija;53
Jaunciema 6.līnija;57
Jaunciema 6.līnija;59
Jaunciema 6.līnija;41
Jaunciema 6.līnija;39
Jaunciema 6.līnija;37
Jaunciema 6.līnija;25
Jaunciema 6.līnija;21
Jaunciema 6.līnija;19
Jaunciema 4.līnija;28
Jaunciema 4.līnija;32
Jaunciema 4.līnija;30
Jaunciema 4.līnija;36
Jaunciema 4.līnija;38
Jaunciema 4.līnija;40
Jaunciema 4.līnija;42
Jaunciema 4.līnija;46
Jaunciema 4.līnija;48
Jaunciema 4.līnija;50
Jaunciema 4.līnija;52
Jaunciema 4.līnija;56
Jaunciema 4.līnija;54
Jaunciema 4.līnija;29
Jaunciema 4.līnija;31
Jaunciema 4.līnija;27
Jaunciema 4.līnija;33/35
Jaunciema 4.līnija;37
Jaunciema 4.līnija;39
Jaunciema 4.līnija;43
Jaunciema 4.līnija;45
Jaunciema 4.līnija;47
Jaunciema 4.līnija;53
Jaunciema 4.līnija;55
Jaunciema 4.līnija;57
Jaunciema 4.līnija;59
Jaunciema 4.līnija;61
